Date,Close/Last,Volume,Open,High,Low
03/25/2024,$3.60,196362,$4.00,$4.00,$3.50
03/22/2024,$4.026,24676,$4.10,$4.178,$4.01
03/21/2024,$4.09,23275,$4.049,$4.20,$4.046
03/20/2024,$4.095,40674,$4.13,$4.16,$4.043
03/19/2024,$4.04,28141,$4.107,$4.188,$4.01
03/18/2024,$4.108,22522,$4.20,$4.291,$4.101
03/15/2024,$4.10,48056,$4.21,$4.40,$4.10
03/14/2024,$4.304,38960,$4.208,$4.49,$4.208
03/13/2024,$4.299,41265,$4.20,$4.43,$4.10
03/12/2024,$4.232,30983,$4.20,$4.38,$4.20
03/11/2024,$4.224,27708,$4.301,$4.39,$4.22
03/08/2024,$4.301,50751,$4.441,$4.45,$4.269
03/07/2024,$4.367,27113,$4.301,$4.489,$4.301
03/06/2024,$4.3165,22596,$4.411,$4.439,$4.30
03/05/2024,$4.401,32331,$4.40,$4.45,$4.31
03/04/2024,$4.45,51924,$4.426,$4.65,$4.35
03/01/2024,$4.561,44094,$4.463,$4.597,$4.32
02/29/2024,$4.4615,45341,$4.40,$4.55,$4.361
02/28/2024,$4.488,50171,$4.40,$4.488,$4.23
02/27/2024,$4.441,33485,$4.428,$4.50,$4.295
02/26/2024,$4.428,52644,$4.588,$4.70,$4.306
02/23/2024,$4.48,103724,$4.00,$4.50,$4.00
02/22/2024,$3.965,60595,$4.014,$4.104,$3.90
02/21/2024,$4.096,36137,$4.16,$4.279,$4.013
02/20/2024,$4.16,40796,$4.20,$4.335,$4.103
02/16/2024,$4.335,64489,$4.35,$4.38,$4.20
02/15/2024,$4.38,27798,$4.35,$4.45,$4.25
02/14/2024,$4.377,22056,$4.397,$4.41,$4.2571
02/13/2024,$4.351,53253,$4.30,$4.50,$4.25
02/12/2024,$4.398,56954,$4.548,$4.599,$4.20
02/09/2024,$4.55,25262,$4.55,$4.55,$4.488
02/08/2024,$4.55,19673,$4.50,$4.60,$4.479
02/07/2024,$4.49,67581,$4.675,$4.7216,$4.209
02/06/2024,$4.6921,45701,$4.60,$4.71,$4.51
02/05/2024,$4.702,34138,$4.831,$4.999,$4.70
02/02/2024,$4.93,26664,$4.788,$5.00,$4.775
02/01/2024,$4.799,28414,$5.10,$5.10,$4.75
01/31/2024,$4.902,34588,$4.90,$5.023,$4.81
01/30/2024,$5.023,31860,$4.998,$5.126,$4.923
01/29/2024,$5.153,78411,$4.90,$5.20,$4.55
01/26/2024,$4.972,37709,$5.19,$5.20,$4.846
01/25/2024,$5.199,46163,$5.13,$5.299,$4.95
01/24/2024,$5.08,62382,$4.929,$5.255,$4.74
01/23/2024,$4.804,26635,$4.522,$4.854,$4.522
01/22/2024,$4.689,39826,$4.50,$4.689,$4.40
01/19/2024,$4.59,68311,$4.77,$4.95,$4.50
01/18/2024,$4.80,27014,$5.11,$5.11,$4.75
01/17/2024,$4.952,37191,$4.991,$5.00,$4.70
01/16/2024,$5.028,86723,$5.00,$5.50,$5.00
01/12/2024,$5.056,65477,$5.012,$5.27,$4.87
01/11/2024,$4.98,69799,$5.277,$5.277,$4.848
01/10/2024,$5.277,69409,$5.60,$5.60,$5.055
01/09/2024,$5.592,74831,$5.855,$5.855,$5.40
01/08/2024,$5.855,141174,$6.00,$6.00,$5.353
01/05/2024,$6.029,104135,$5.89,$6.30,$5.806
01/04/2024,$5.976,279388,$5.95,$6.50,$5.70
01/03/2024,$5.825,475431,$5.10,$6.00,$5.10
01/02/2024,$4.89,738547,$4.201,$6.348,$4.15
12/29/2023,$4.25,72919,$4.00,$4.30,$3.99
12/28/2023,$4.13,34258,$4.033,$4.20,$4.033
12/27/2023,$4.128,75435,$4.16,$4.20,$4.07
12/26/2023,$4.244,72963,$4.485,$4.487,$4.15
12/22/2023,$4.557,101298,$4.50,$4.749,$4.499
